scenario_id,scenario_type,cas_usage,step,context,intent,patient_dit,ia_repond,keywords,skip_step_if_motif_detected,action_attendue,valide,remarques,parent_id,type_patient,canal,condition_metier,variantes,,,,,,,,,,
PATIENT_repetition_1,scenario_transversal,Interaction difficile,,Patient répète deux fois sa demande,repetition,Je veux un rendez-vous... Je veux un rendez-vous pour un contrôle...,"D’accord, je vous écoute. Vous souhaitez un rendez-vous pour un contrôle, c’est bien cela ?","contrôle,rendez-vous,rdv,prendre,voir,dentiste",false,confirmer_motif,,Permet de reformuler pour s'assurer de la bonne compréhension,,inconnu,téléphone,"Cas de stress, confusion ou répétition naturelle","Pas de souci, je vous confirme, c’est pour un contrôle dentaire ?",,,,,,,,,,
PATIENT_hesitation_1,scenario_transversal,Interaction difficile,,Patient hésite à formuler sa demande,hesitation,"Euh... Je ne sais pas... j’ai mal, enfin… c’est une gêne.","Pas de souci, je vais vous aider. Est-ce que cette gêne est douloureuse ou gênante pour manger ou dormir ?","gêne,douleur,mal,bizarre,sensation,pas sur",false,clarifier_symptomes,,Permet d’orienter la demande vers urgence ou contrôle,,inconnu,téléphone,Cas fréquents chez patients anxieux ou peu précis,Vous pouvez me décrire un peu ce que vous ressentez ?,,,,,,,,,,
PATIENT_incomprehension_1,scenario_transversal,Interaction difficile,,Patient ne comprend pas la question de l’IA,clarification_question,Qu’est-ce que vous voulez dire par douleur spontanée ?,Une douleur spontanée est une douleur qui vient sans que vous fassiez quoi que ce soit. Cela vous arrive-t-il ?,"douleur,spontanée,comprends pas,c'est quoi,signifie",false,expliquer_terme,,Important pour éviter perte d'information clinique,,existant,téléphone,Utiliser un langage compréhensible,"C’est une douleur qui vient toute seule, sans manger ou toucher la dent.",,,,,,,,,,
ORTHO_4,scenario_transversal,Orthodontie enfant,,Demande sur le déroulement du traitement,info_traitement_ortho_enfant,Et comment ça se passe pour un appareil ?,"Cela dépend du diagnostic, mais un bilan complet est réalisé avant toute décision : examen clinique, radios et empreintes si nécessaire. Le devis est donné après ce bilan.","appareil,orthodontie,enfant,déroulement,comment,se passe",false,expliquer_deroulement_traitement,,Informer sans anticiper la décision thérapeutique,,enfant,téléphone,Bilan = base du plan de traitement,Le devis vous sera transmis après le diagnostic complet.,,,,,,,,,,
ORTHO_AD_4,scenario_transversal,Orthodontie adulte,,Patient souhaite un traitement invisible,info_techniques_ortho_adulte,"Je cherche un appareil invisible, c’est possible ?",Nous proposons des traitements avec aligneurs transparents (type Invisalign). Le praticien vérifiera lors du diagnostic si vous êtes éligible.,"appareil,invisible,orthodontie,adulte,aligneurs,invisalign,transparent",false,expliquer_aligneurs_et_conditions,,Ne pas promettre sans évaluation clinique,,adulte,téléphone,Invisalign = traitement à coût spécifique,L’éligibilité sera confirmée après bilan clinique.,,,,,,,,,,
PARO_3,scenario_transversal,Soins parodontaux,,Demande de renseignements sur les traitements,info_soins_parodontaux,Comment ça se passe un traitement des gencives ?,"Cela dépend de l’atteinte observée. Le praticien vous expliquera en détail après le bilan, mais cela peut inclure un nettoyage en profondeur ou des séances de surfaçage radiculaire.","gencives,parodontie,soins,parodontal,traitement,surfaçage,nettoyage,explication,déchaussement,saigne",false,explication_generale_soins_paro,,Ne pas entrer dans un protocole avant examen clinique,,adulte,téléphone,Prévoir devis et fréquence des séances,Un devis vous sera remis à l’issue du bilan initial.,,,,,,,,,,
Ouverture_appel_A,scenario_principal,Ouverture appel,0,Ouverture de l’appel,prise_rdv,"Bonjour, je voudrais prendre un rendez-vous s'il vous plaît, je suis patient du cabinet",! Pouvez-vous me rappeler votre nom ?,"prendre,rendez-vous,rdv,consultation,voir",false,identifier_patient,,Scénario d’ouverture neutre,,inconnu,téléphone,Déclenche identification,"Bienvenue au cabinet, pouvez-vous me dire votre nom ?",,,,,,,,,,
Ouverture_appel_B,scenario_principal,Ouverture appel,0,Ouverture de l’appel,prise_rdv,"Bonjour, je voudrais prendre un rendez-vous pour un détartrage, pour faire nettoyer mes dents et enlever le tartre","! Très bien, nous allons chercher un rendez-vous pour un détartrage. Pouvez-vous me rappeler votre nom ?","prendre,rendez-vous,détartrage,nettoyage,hygiène,tartre,nettoyer",true,identifier_patient,,Cas prévention,,inconnu,téléphone,Filtrage préventif,"D’accord, pour un détartrage. Quel est votre nom s’il vous plaît ?",,,,,,,,,,
Ouverture_appel_C,scenario_principal,Ouverture appel,0,Ouverture de l’appel,prise_rdv,"Bonjour, je voudrais un bilan dentaire complet, juste un contrôle annuel pour vérifier que tout va bien dans ma bouche","! Très bien, nous allons chercher un rendez-vous pour un contrôle. Pouvez-vous me rappeler votre nom ?","prendre,rendez-vous,contrôle,bilan,check-up,vérification,annuel,vérifier",true,identifier_patient,,Cas diagnostic,,inconnu,téléphone,Contrôle périodique ou premier bilan,"Pour un bilan, très bien. Puis-je avoir votre nom ?",,,,,,,,,,
Ouverture_appel_D,scenario_principal,Ouverture appel,0,Ouverture de l’appel,prise_rdv_urgence,"Bonjour, j'ai une gêne dentaire, quelque chose me fait mal en haut à droite quand je mange ou quand je bois chaud",! Nous allons faire notre possible pour trouver un rendez-vous rapidement. Pouvez-vous me rappeler votre nom ?,"gêne,douleur,mal,sensible,gênant,chaud,froid,manger",true,identifier_patient,,Cas douleur floue,,inconnu,téléphone,Peut être urgence ou bilan exploratoire,"D’accord, nous allons regarder cela ensemble. Quel est votre nom ?",,,,,,,,,,
